,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Dim.6,Dim.7,Dim.8,Dim.9,Dim.10,Dim.11,Dim.12,Dim.13,Dim.14,Dim.15,Dim.16,Dim.17,Dim.18,Dim.19,Dim.20,Dim.21,Dim.22,Dim.23,Dim.24,Dim.25,Dim.26,Dim.27,Dim.28,Dim.29,Dim.30
temporal,51.9983247711418,20.4403297475267,52.0964138160742,44.0181724128633,6.27468296725145,12.9190756879477,81.8224469647634,15.2412103015333,98.3331829714384,95.5358734414208,31.6571735016583,89.3794702658905,95.2901836337768,80.8986255926061,81.3889471335651,90.865741682911,96.9761733115178,75.6978834874337,76.6857293569078,26.2873285644116,35.4738877362135,70.3273865186841,89.7921726147034,22.2487129249224,44.4505342947158,86.3713122181889,84.7426052916015,95.263470965546,94.4847828969229,97.4408552660977
static,48.0016752288582,79.5596702524732,47.9035861839255,55.9818275871365,93.7253170327487,87.0809243120523,18.1775530352366,84.7587896984668,1.66681702856159,4.46412655857908,68.3428264983416,10.6205297341093,4.70981636622321,19.1013744073939,18.6110528664349,9.13425831708919,3.02382668848216,24.3021165125662,23.3142706430921,73.7126714355884,64.5261122637867,29.6726134813159,10.2078273852966,77.7512870750776,55.5494657052841,13.6286877818111,15.2573947083985,4.73652903445396,5.51521710307703,2.55914473390233
