,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Dim.6,Dim.7,Dim.8,Dim.9,Dim.10,Dim.11,Dim.12,Dim.13,Dim.14,Dim.15,Dim.16,Dim.17,Dim.18,Dim.19,Dim.20,Dim.21,Dim.22,Dim.23,Dim.24,Dim.25,Dim.26,Dim.27,Dim.28,Dim.29,Dim.30
binned_slope_1,0.238861590638332,0.0846981246835931,0.0131112551022424,0.0787624293566092,0.0402122332372632,0.0925421969097291,0.268830151501722,-0.137896702123042,0.475488403111614,-0.480055463517479,-0.266430004198708,0.341683720448219,0.267873438614925,-0.134203513290425,0.126247720194109,0.0312857319702076,0.0940472147934977,0.0664303890291113,-0.0540280182811643,-0.0228160569271222,-0.0002425539329941,-0.0259504559727697,0.0198716475227436,-0.0126605259386338,0.0169243636604491,0.0203392202718643,-0.0201477264143993,-0.0318535074223143,0.0287716387589937,-0.0246362120579917
binned_slope_11,-0.199819898014662,-0.0667796552381236,-0.0604644875532702,0.0690306092746995,0.0276068161176202,-0.0513887274809194,-0.0420894793285585,-0.231728378160378,-0.0570212381193785,-0.0075348298053883,-0.166279775075751,-0.210475276371668,-0.283722349047434,-0.047803873574519,0.709394430635229,-0.0529888676481718,0.313909974870763,-0.0444949219499973,0.0708491112269813,0.0715772445296412,0.187150874478731,0.198954285623392,0.145387690931524,0.0501653482808311,0.0237378729836262,-0.0143795771923736,0.0156305485678966,-0.0281712313399933,-0.0306808358427612,0.0290555590528072
binned_slope_0,0.51319076342452,0.297679640738963,-0.382981100531699,0.222408679632041,0.0956931489480377,0.0445462810350403,-0.384418468876578,0.121665846121861,-0.229782662566725,0.114024822845901,0.0553841147623094,-0.0687151811415098,-0.0371705052046192,0.0303702387416935,-0.0206757322781327,-0.0264940555807669,-0.0076623672225853,0.0264476009197811,-0.0076483944057946,0.055412923160136,0.0387919032567132,-0.0591531629251809,0.0118800756008081,0.0236157565520224,0.0025973810169378,-0.0038968327320772,0.191604163324685,-0.0137761013013394,0.0045379920089311,0.0624866546424441
binned_slope_7,-0.150739272622437,-0.0998372672618554,0.18147429794839,-0.101078684943686,-0.0115674319640943,-0.0863796252292119,-0.292866063557828,-0.0480738376165627,0.123669744615472,-0.316330455190013,0.312333910725571,-0.400054229574125,0.179593211525742,-0.304152478551839,-0.307819095885499,-0.235072950416856,0.246584993580302,0.151829048169988,0.145773870779733,-0.0561810841190918,0.128978722959729,0.0975987800275538,0.0904747873239623,0.0352543837241117,-0.0017063707622965,0.102311423895825,-0.0188373641966359,0.012944671175515,-0.0033113308281537,0.0710446688950571
binned_slope_5,-0.090031682211335,-0.142044225864055,0.273592108194016,-0.120543108853853,-0.0370439199080121,-0.026956579811646,-0.0854063185179184,0.0061196135816747,-0.339726659678083,-0.137368255254887,-0.195321332222794,0.248292236593174,-0.346231724415396,0.0032036860738432,-0.246557235679791,0.548458934016367,0.314431644962537,0.0438797181822817,0.0991963045919898,-0.0610142798192903,0.0428339208928024,0.0372782019238228,-0.0552856663768346,0.015316460839631,0.0524234256928202,-0.0083135501973499,0.0448064985129227,0.0100315367175574,0.0129516087608526,-0.0415241384375847
binned_slope_2,0.10983695771949,0.0145479966589494,0.178766119429317,-0.0308861431425691,-0.0736501267704109,0.0658994514862019,0.458797036483582,-0.0189023306998419,0.332117860909457,0.142022248155419,0.15991999284686,-0.303234746294913,-0.591009411895494,0.158195725966407,-0.169491023985236,-0.114954769127269,-0.112034490638629,0.0138561127401766,0.0342483491705562,0.0217553443791665,-0.0348650340615359,0.0100099392922751,0.0041836077690949,-0.0557591825096078,-0.0110935640265819,-0.0140585279615136,-0.0898887172151922,-0.0179651488271478,-0.0310598703518,0.0060406114092215
binned_slope_8,-0.14004058834224,-0.1301595306171,0.102005015389056,-0.0464358420006707,0.0510387582795129,-0.045550123221835,-0.295088268697137,0.252663780851532,0.361310862864645,0.228830545860587,0.113503433636837,0.194495791577358,-0.0096090749700426,0.157495276148523,-0.0078510391440146,0.0164828416099309,0.254213230298143,-0.461387446745852,-0.460881107719584,0.018845353013014,-0.0821533438623241,0.0538684830466851,0.110648841362354,0.0134161703166779,-0.0393595056233561,0.0511568785962437,-0.0073102028302791,0.0330171359734162,-0.0640829324747253,-0.0294604965660645
binned_slope_3,0.0395428880599435,-0.0493030935399105,0.235283591216348,-0.121730386734257,-0.100413292194157,0.0450012554861147,0.279641201518495,-0.035147505535393,-0.139600185736587,0.440348426370369,0.0137551688164634,-0.3536569455766,0.551171637276226,-0.08482383629176,0.14203898920352,0.329200452739107,0.0512813308039874,-0.0088320328811449,-0.0657526359511156,0.0071060597665891,0.0309097661158345,0.020777057835971,-0.0479258429563809,-0.0514842685239977,0.0055021852176705,-0.0523325640762197,-0.0595234958477174,0.0174393283704903,0.0014864781261082,0.0341851971848336
binned_slope_4,-0.0466639797802858,-0.0653758653830722,0.298246874208473,-0.141586452186151,-0.061575335015376,-0.0461138817885435,0.127914221977733,-0.0337559070844439,-0.431035569611477,0.141160534987693,0.021913287215461,0.442928018138956,0.0022180297314224,-0.154050017927746,0.0645094217538973,-0.604991644035985,-0.0948408497416568,-0.0954550599391795,0.0300996937732264,-0.0396786227735465,-0.0067110066415456,0.056579908607883,-0.0287174014352244,-0.0026944717437864,0.0287685265431288,-0.0052624275650215,0.0420404518730879,0.0478131685991309,-0.0074130964035452,0.0371182410421276
binned_slope_6,-0.145686498109663,-0.088437842544026,0.240301650062519,-0.087486421186764,0.0065111760874351,-0.0817492822642742,-0.189318019434248,0.122415700196436,-0.101334851864783,-0.406670832180195,-0.0443128874468476,-0.168382021749824,0.0914381288374452,0.502635307221676,0.248829177317686,0.0598426471216933,-0.516907382031381,0.0297104969196359,-0.0759102743430559,0.0309863870254397,-0.040807434660496,0.0679845245473431,0.0003169086710276,0.0289792852937612,0.03407291512146,0.0667920523984999,-0.0125521977979855,-0.050753968840433,0.0192053973375267,-0.0261660322071641
binned_slope_10,-0.182125103130117,-0.0707570094670666,-0.059085872104551,0.0368644952262375,0.087888217657179,-0.0712677940245515,-0.17141618158118,0.0090817420258986,0.171436580485766,0.198969433823866,-0.248894928439521,0.0780007142711777,-0.110667028069304,-0.531237741635876,-0.14909898994478,0.191536973235477,-0.560833650110005,-0.003139454273015,-0.0958560117276131,0.0569543852644099,0.176359120306855,0.175864983878015,0.157302811828639,0.0205063390603539,0.0162847246942233,0.0211866466432107,-8.60525938596502e-05,0.0291219401502,0.030038630192569,-0.0060376623321003
binned_slope_9,-0.131992871753353,-0.0623827020529437,0.0661713038407673,-0.0899022162756312,0.0264845687296142,-0.0469228808484548,-0.292320901698416,0.0803935161945374,0.40196233386215,0.399592545705414,0.0481233961888217,0.294580378785071,0.0954417882667412,0.259484114344448,0.110267334263803,0.01421241150383,-0.0025843081279772,0.254025824743379,0.515545300257304,-0.0522741441238014,0.0531647248789091,-0.0968418596262095,-0.0076143544486393,-0.0022854381896871,-0.0436592914962427,-0.0482043197801218,-0.0107202722153465,0.0112816490707763,0.0297839920267662,-0.0028241902328093
interaction_rate_bin_11,-0.44786746198379,0.381335612632937,0.253369987975012,0.368085219598354,0.0770862553334633,0.16140748090425,0.0514625661316274,0.0476978722850213,-0.0317272220540099,-0.0460778816112323,0.0547625681084063,0.0177967327316033,0.0898236103932463,0.0881045226442741,-0.127454407398958,0.0348081457650203,-0.0615184258470868,-0.212624104037933,0.115427352735883,-0.151544892840519,0.0919307152643692,-0.0783912746510777,0.300638158713802,-0.0417761257818331,0.164986294843902,-0.245204269277536,0.0893176800956988,-0.236996268620143,-0.103155621086268,0.125587934026247
interaction_rate_bin_5,-0.529235929454431,0.402723811147636,0.26476941258676,0.338648836834212,0.0756005342384963,0.0274102522254195,-0.059876854686527,0.0374874065113272,0.143395205253327,0.0130480372484078,0.0852733034210538,-0.0640116471876985,0.0801769332544271,0.0011747790887269,0.0612088280663601,-0.101160896172091,-0.0571515171383264,0.0568222079094407,-0.0327051512596877,0.0947705969132428,-0.0792773003496818,0.170734583150885,-0.196539167208678,-0.0277818980671968,0.144751911314544,-0.128159004922221,0.209818401641843,0.122572190422621,-0.0285507038152532,-0.135574528849279
