method_type,params,explained_variance_ratio,overall_sparsity,mean_sparsity_per_component,interpretable_components,reconstruction_error,converged,n_iter,success,condition,combination_id,explained_var_norm,interpretable_comp_norm,sparsity_score,reconstruction_score,convergence_score,combined_score
PCA,{'n_components': 7},0.9584069299089153,0.0,0.0,7,0.5864216210217164,True,,True,List1,0,0.0,0.34999999982499996,1.0,0.0,1.0,0.269999999965
PCA,{'n_components': 10},0.9794798079763725,0.0,0.0,10,0.3910355118656741,True,,True,List1,1,0.525583116627691,0.49999999975,1.0,0.5255832477145225,1.0,0.615349896143981
PCA,{'n_components': 12},0.9868495513996902,0.0,0.0,12,0.32270381610247867,True,,True,List1,2,0.7093934487889861,0.5999999997,1.0,0.7093936257203548,1.0,0.7456361045996655
PCA,{'n_components': 15},0.9932530520192723,0.0,0.0,15,0.2633310495048965,True,,True,List1,3,0.8691045144627698,0.749999999625,1.0,0.8691047312280236,1.0,0.8714627519557127
PCA,{'n_components': 20},0.9985012026223089,0.0,0.0,20,0.21467059964561494,True,,True,List1,4,0.9999997505878813,0.9999999995,1.0,1.0,1.0,0.9999999001351525
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 0.01, 'tol': 0.0001}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,0.5872928483367787,True,3,True,List1,0,0.02304154217936162,0.0,0.11904761904761904,0.8744696831496613,1.0,0.26784481988816244
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 0.01, 'tol': 1e-05}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,0.5872928483367787,True,3,True,List1,1,0.02304154217936162,0.0,0.11904761904761904,0.8744696831496613,1.0,0.26784481988816244
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 0.1, 'tol': 0.0001}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,0.6598620279707924,True,3,True,List1,2,0.02304154217936162,0.0,0.11904761904761904,0.8462716318527564,1.0,0.2636151121936267
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 0.1, 'tol': 1e-05}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,0.6598620279707924,True,3,True,List1,3,0.02304154217936162,0.0,0.11904761904761904,0.8462716318527564,1.0,0.2636151121936267
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 1.0, 'tol': 0.0001}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,2.807990571288469,True,3,True,List1,4,0.02304154217936162,0.0,0.11904761904761904,0.011577907019376887,1.0,0.1384110534686198
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 1.0, 'tol': 1e-05}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,2.807990571288469,True,3,True,List1,5,0.02304154217936162,0.0,0.11904761904761904,0.011577907019376887,1.0,0.1384110534686198
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 0.01, 'tol': 0.0001}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,0.3919258672431421,True,3,True,List1,6,0.3552895708751564,0.0,0.11904761904761904,0.9503830141585423,1.0,0.37890622814823305
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 0.01, 'tol': 1e-05}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,0.3919258672431421,True,3,True,List1,7,0.3552895708751564,0.0,0.11904761904761904,0.9503830141585423,1.0,0.37890622814823305
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 0.1, 'tol': 0.0001}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,0.46609066384473247,True,3,True,List1,8,0.3552895708751564,0.0,0.11904761904761904,0.9215649573809519,1.0,0.3745835196315945
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 0.1, 'tol': 1e-05}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,0.46609066384473247,True,3,True,List1,9,0.3552895708751564,0.0,0.11904761904761904,0.9215649573809519,1.0,0.3745835196315945
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 1.0, 'tol': 0.0001}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,2.6614508786412987,True,3,True,List1,10,0.3552895708751564,0.0,0.11904761904761904,0.0685185227344377,1.0,0.24662655443461734
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 1.0, 'tol': 1e-05}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,2.6614508786412987,True,3,True,List1,11,0.3552895708751564,0.0,0.11904761904761904,0.0685185227344377,1.0,0.24662655443461734
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 12, 'ridge_alpha': 0.01, 'tol': 0.0001}",0.9868499934195408,0.07142857142857142,0.07142857142857141,0,0.32360087105081703,True,3,True,List1,12,0.47148804603229466,0.0,0.11904761904761904,0.9769319121508933,1.0,0.41774810539422713
