method_type,params,explained_variance_ratio,overall_sparsity,mean_sparsity_per_component,interpretable_components,reconstruction_error,converged,n_iter,success,condition,combination_id,bic_score,bic_penalty,explained_var_norm,interpretable_comp_norm,sparsity_score,reconstruction_score,convergence_score,combined_score
PCA,{'n_components': 7},0.9584069299089153,0.0,0.0,7,0.5864216210217164,True,,True,List1,0,-1631.7295914893364,1.0,0.0,0.34999999982499996,1.0,0.0,1.0,0.11999999996500002
PCA,{'n_components': 10},0.9794798079763725,0.0,0.0,10,0.3910355118656741,True,,True,List1,1,-2889.3279122616013,0.5908701295764961,0.525583116627691,0.49999999975,1.0,0.5255832477145225,1.0,0.5267193767075066
PCA,{'n_components': 12},0.9868495513996902,0.0,0.0,12,0.32270381610247867,True,,True,List1,2,-3480.70606645172,0.39847923369289046,0.7093934487889861,0.5999999997,1.0,0.7093936257203548,1.0,0.6858642195457318
PCA,{'n_components': 15},0.9932530520192723,0.0,0.0,15,0.2633310495048965,True,,True,List1,3,-4099.638698713287,0.19712414005492038,0.8691045144627698,0.749999999625,1.0,0.8691047312280236,1.0,0.8418941309474746
PCA,{'n_components': 20},0.9985012026223089,0.0,0.0,20,0.21467059964561494,True,,True,List1,4,-4705.566071506019,0.0,0.9999997505878813,0.9999999995,1.0,1.0,1.0,0.9999999001351525
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 0.01, 'tol': 0.0001}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,0.5872928483367787,True,3,True,List1,0,-1627.0339136637717,0.3306924622328683,0.02304154217936162,0.0,0.11904761904761904,0.8744696831496613,1.0,0.20832017668624614
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 0.01, 'tol': 1e-05}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,0.5872928483367787,True,3,True,List1,1,-1627.0339136637717,0.3306924622328683,0.02304154217936162,0.0,0.11904761904761904,0.8744696831496613,1.0,0.20832017668624614
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 0.1, 'tol': 0.0001}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,0.6598620279707924,True,3,True,List1,2,-1258.5217053083802,0.3801949709493788,0.02304154217936162,0.0,0.11904761904761904,0.8462716318527564,1.0,0.19518001742273852
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 0.1, 'tol': 1e-05}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,0.6598620279707924,True,3,True,List1,3,-1258.5217053083802,0.3801949709493788,0.02304154217936162,0.0,0.11904761904761904,0.8462716318527564,1.0,0.19518001742273852
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 1.0, 'tol': 0.0001}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,2.807990571288469,True,3,True,List1,4,3322.114786548979,0.9955151495597315,0.02304154217936162,0.0,0.11904761904761904,0.011577907019376887,1.0,-0.04078167345213188
