Genotype,Metric,Cohen_d,Direction,MW_pval,MW_significant,Perm_pval,Perm_significant,pval_difference,Agreement
86685 (LH272),chamber_ratio,-0.2665051522505059,-1,0.7634480493898457,False,0.4138586141385861,False,0.3495894352512596,AGREE
LC16-1,chamber_ratio,0.0568190668911566,1,0.4779486596694533,False,0.8678132186781322,False,0.3898645590086789,AGREE
86720 (LH18),chamber_ratio,-0.2219600215111706,-1,0.4379760012151102,False,0.5234476552344766,False,0.08547165401936635,AGREE
SS32219-Gal4 (LAL-2),chamber_ratio,-0.0010935870989856,-1,0.8362744674315843,False,0.9977002299770024,False,0.16142576254541807,AGREE
DDC-gal4,chamber_ratio,-0.7931858462156988,-1,0.0344238143253887,False,0.0312968703129687,False,0.003126944012420002,AGREE
MB434B,chamber_ratio,0.4039830048720104,1,0.2038391869936623,False,0.2403759624037596,False,0.03653677541009731,AGREE
MB418B ,chamber_ratio,-0.2736065555409814,-1,0.7042746132087777,False,0.433956604339566,False,0.2703180088692117,AGREE
SS32230-Gal4 (LAL-1),chamber_ratio,0.4252034641175145,1,0.3302327929924233,False,0.2268773122687731,False,0.1033554807236502,AGREE
LC22,chamber_ratio,0.219564202535975,1,0.9397966164051808,False,0.5445455454454554,False,0.39525107095972534,AGREE
75945 (LH1543),chamber_ratio,-0.2541065710925724,-1,0.4379760012151102,False,0.461953804619538,False,0.02397780340442779,AGREE
MB296B (PPL1-03),chamber_ratio,-0.1483180803056881,-1,0.4779486596694533,False,0.6586341365863414,False,0.18068547691688808,AGREE
50742 (MB247-GAL4),chamber_ratio,-0.7394090075073714,-1,0.0835505652672125,False,0.0622937706229377,False,0.021256794644274796,AGREE
86707 (LH578),chamber_ratio,-0.1187387157153853,-1,0.6559104900442466,False,0.7311268873112688,False,0.07521639726702223,AGREE
MB310C,chamber_ratio,-0.6374931337350197,-1,0.0831386551908183,False,0.0668933106689331,False,0.016245344521885197,AGREE
KC-α/βc-GaL4,distance_moved,0.3627794071643753,1,0.3014607391928351,False,0.303969603039696,False,0.002508863846860887,AGREE
72D07-GAL4,distance_moved,-0.8135237449255511,-1,0.0071473256415001,True,0.0130986901309869,False,0.0059513644894868,"DISAGREE: MW-yes, Perm-no"
KC-γmain-GaL4,distance_moved,0.1071980127462437,1,0.8094739516199263,False,0.76002399760024,False,0.049449954019686326,AGREE
LC10-2,distance_moved,0.279315582212649,1,0.9868335403179408,False,0.4238576142385761,False,0.5629759260793648,AGREE
51983 (Mip-GAL4 1M),distance_moved,0.8538159740326523,1,0.2996577066366915,False,0.0128987101289871,True,0.2867589965077044,"DISAGREE: MW-no, Perm-yes"
MB504B (All PPL1),distance_moved,0.3449612083929113,1,0.3794626650711514,False,0.3640635936406359,False,0.015399071430515499,AGREE
MB312B (PAM-07),distance_moved,0.5579919581893755,1,0.1791755811996289,False,0.1118888111188881,False,0.0672867700807408,AGREE
MB304B (PPL1-04),distance_moved,-0.0511549165094489,-1,0.3891894127842222,False,0.8846115388461154,False,0.49542212606189323,AGREE
86615 (LH2201),distance_moved,-0.4710728722953453,-1,0.090369144971758,False,0.2421757824217578,False,0.15180663744999978,AGREE
9998 (OR67d-GAL4),distance_moved,0.9445622612406276,1,0.0034272183334826,True,0.0055994400559944,True,0.0021722217225117997,AGREE
MBON-08-GaL4  MBON-09-GaL4 ,distance_moved,1.2773463509075478,1,0.0084210613077628,True,0.0016998300169983,True,0.0067212312907645,AGREE
854 (OK107-Gal4),distance_moved,1.1896349396583756,1,0.0071473256415001,True,0.0010998900109989,True,0.0060474356305012,AGREE
41731 (IR8a-GAL4),distance_moved,1.5528598828136757,1,0.0395702695473862,False,0.0056994300569943,True,0.033870839490391894,"DISAGREE: MW-no, Perm-yes"
9943 (GR63a-GAL4),distance_moved,0.6537097348279163,1,0.0353813352666331,False,0.0528947105289471,False,0.017513375262314,AGREE
75823 (LH2446),distance_moved,0.1353249127717367,1,0.8559539033635253,False,0.6956304369563043,False,0.16032346640722095,AGREE
86685 (LH272),distance_moved,0.0036012525526243,1,0.476867041817969,False,0.991900809919008,False,0.515033768101039,AGREE
