Genotype,Metric,Cohen_d,Direction,MW_pval,MW_significant,Perm_pval,Perm_significant,pval_difference,Agreement
SS32230-Gal4 (LAL-1),max_distance,0.1265847955956204,1,0.0071473256415001,True,0.5745425457454254,False,0.5673952201039253,"DISAGREE: MW-yes, Perm-no"
LC10-2,max_event,-0.9101459382422232,-1,0.0103368033524135,False,0.0028997100289971,True,0.0074370933234164,"DISAGREE: MW-no, Perm-yes"
41731 (IR8a-GAL4),max_event,1.5723916262879174,1,0.1170333082279719,False,0.0042995700429957,True,0.1127337381849762,"DISAGREE: MW-no, Perm-yes"
MB418B ,max_event,-0.7361813037126776,-1,0.0205122781592115,True,0.0327967203279672,False,0.012284442168755703,"DISAGREE: MW-yes, Perm-no"
51983 (Mip-GAL4 1M),nb_events,1.0366156095890957,1,0.0092276566786139,False,0.0108989101089891,True,0.0016712534303752,"DISAGREE: MW-no, Perm-yes"
MBON-08-GaL4  MBON-09-GaL4 ,nb_events,0.9658712033528573,1,0.048781882678443,False,0.0164983501649835,True,0.0322835325134595,"DISAGREE: MW-no, Perm-yes"
51983 (Mip-GAL4 1M),nb_events,1.0366156095890957,1,0.0092276566786139,False,0.0108989101089891,True,0.0016712534303752,"DISAGREE: MW-no, Perm-yes"
MBON-08-GaL4  MBON-09-GaL4 ,nb_events,0.9658712033528573,1,0.048781882678443,False,0.0164983501649835,True,0.0322835325134595,"DISAGREE: MW-no, Perm-yes"
KC-α/βc-GaL4,nb_freeze,-1.06878078234982,-1,0.0064261376883318,False,0.0025997400259974,True,0.0038263976623343996,"DISAGREE: MW-no, Perm-yes"
86707 (LH578),nb_freeze,0.9583759439164204,1,0.0120325252769437,False,0.0078992100789921,True,0.0041333151979516,"DISAGREE: MW-no, Perm-yes"
DDC-gal4,normalized_velocity,-0.8191132646134818,-1,0.1751579224726511,False,0.021997800219978,True,0.15316012225267311,"DISAGREE: MW-no, Perm-yes"
MB418B ,normalized_velocity,0.8186265879867575,1,0.1169433144977557,False,0.0203979602039796,True,0.0965453542937761,"DISAGREE: MW-no, Perm-yes"
9998 (OR67d-GAL4),number_of_pauses,0.8032659901727707,1,0.0663288617103308,False,0.0201979802019798,True,0.046130881508351,"DISAGREE: MW-no, Perm-yes"
41731 (IR8a-GAL4),number_of_pauses,1.381443575313874,1,0.073683319877588,False,0.0105989401059894,True,0.0630843797715986,"DISAGREE: MW-no, Perm-yes"
50742 (MB247-GAL4),number_of_pauses,1.0150030108405252,1,0.0294526833805222,False,0.0100989901009899,True,0.0193536932795323,"DISAGREE: MW-no, Perm-yes"
MB504B (All PPL1),persistence_at_end,-1.0957117138883656,-1,0.0170536113036787,False,0.0084991500849915,True,0.0085544612186872,"DISAGREE: MW-no, Perm-yes"
DDC-gal4,persistence_at_end,1.1668643470685012,1,0.0342733057901883,False,0.003999600039996,True,0.030273705750192302,"DISAGREE: MW-no, Perm-yes"
LC10-2,pulled,-0.9748767670051244,-1,0.0078139531608721,False,0.0078992100789921,True,8.5256918119999e-05,"DISAGREE: MW-no, Perm-yes"
51983 (Mip-GAL4 1M),pulled,0.9827705014949772,1,0.1864903540141358,False,0.0037996200379962,True,0.1826907339761396,"DISAGREE: MW-no, Perm-yes"
41731 (IR8a-GAL4),pulled,1.998595494228093,1,0.0756114164079662,False,0.0012998700129987,True,0.07431154639496751,"DISAGREE: MW-no, Perm-yes"
50742 (MB247-GAL4),pulled,0.9688265947981862,1,0.0638002736702361,False,0.0118988101189881,True,0.051901463551247994,"DISAGREE: MW-no, Perm-yes"
86615 (LH2201),pulling_ratio,-1.2128256820542354,-1,0.0080687162991177,False,0.0064993500649935,True,0.0015693662341241992,"DISAGREE: MW-no, Perm-yes"
75823 (LH2446),time_chamber_beginning,-0.7757786365742789,-1,0.021799586989537,True,0.0300969903009699,False,0.008297403311432899,"DISAGREE: MW-yes, Perm-no"
MB418B ,time_chamber_beginning,-0.8077294381128157,-1,0.03326938587383,False,0.0246975302469753,True,0.0085718556268547,"DISAGREE: MW-no, Perm-yes"
51983 (Mip-GAL4 1M),velocity_trend,-0.971736381629712,-1,0.0443428515142615,False,0.0146985301469853,True,0.029644321367276197,"DISAGREE: MW-no, Perm-yes"
854 (OK107-Gal4),velocity_trend,-0.7709825851732879,-1,0.0058528980912775,True,0.0318968103189681,False,0.026043912227690598,"DISAGREE: MW-yes, Perm-no"
SS32230-Gal4 (LAL-1),velocity_trend,1.1068628126340796,1,0.0025281641284091,True,0.0024997500249975,False,2.8414103411600073e-05,"DISAGREE: MW-yes, Perm-no"
LC22,velocity_trend,1.146850258555324,1,0.0046228067424399,False,0.0031996800319968,True,0.0014231267104430996,"DISAGREE: MW-no, Perm-yes"
