Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
MB380B (MB-C1),Empty-Split,False,[],1.2125592758167967,0.5744255744255744,0.6416814663362479,0.7822177822177823,False,0.7144418081918081,False,0.8409184398489211
SS54295-gal4 (PBG2‐9.s‐EBt.b‐NO1.b (PB)),Empty-Split,True,['PCA1'],0.775050405420268,0.8191808191808192,0.827196427036117,0.4355644355644356,False,0.8625237196665768,False,0.556898229975153
MB063B (PAM-10),Empty-Split,False,[],2.241078199753384,0.33666333666333664,0.7965856345248976,0.47652347652347654,False,0.5402903548064838,False,0.5853590853590854
41744 (IR8a mutant),TNTxPR,False,[],2.3656360385595767,0.12287712287712288,1.089736411687435,0.08191808191808192,False,0.4783038743434783,False,0.22641247641247642
51306 (OR47b mutant),TNTxPR,False,[],1.2564984356790858,0.5694305694305695,0.6528783917679241,0.8551448551448552,False,0.7126835428722221,False,0.8817296692944362
c316 (MB-DPM),Empty-Gal4,True,"['PCA4', 'PCA5', 'PCA6']",2.5193542742372137,0.04395604395604396,1.5170659176828933,0.000999000999000999,False,0.2650682650682651,True,0.018072836254654435
86666 (LH1139),Empty-Split,True,['PCA2'],3.988545823979641,0.12087912087912088,1.216326293514584,0.012987012987012988,False,0.4783038743434783,False,0.08336824465856724
86670 (LH1594),Empty-Split,False,[],2.3594774644309564,0.14885114885114886,0.7728486326435282,0.5634365634365635,False,0.4783038743434783,False,0.6669839036702943
86674 (LH247),Empty-Split,False,[],1.9668189310432171,0.19880119880119881,0.726021727898618,0.6413586413586414,False,0.4783038743434783,False,0.733507871438906
86667 (LH1000),Empty-Split,False,[],1.8225087809530651,0.23776223776223776,0.8399201383937981,0.3986013986013986,False,0.4783038743434783,False,0.5323602571924719
86671 (LH412),Empty-Split,True,"['PCA2', 'PCA4']",2.7368786604406146,0.19080919080919082,1.562400663057302,0.055944055944055944,False,0.4783038743434783,False,0.18250601857159235
86675 (LH542),Empty-Split,False,[],1.1559212243424037,0.5154845154845155,0.9858886106567315,0.17482517482517482,False,0.6838761238761238,False,0.3648104472846741
86669 (LH567),Empty-Split,False,[],2.2799025711998095,0.13986013986013987,0.9199695650714753,0.2787212787212787,False,0.4783038743434783,False,0.44143258316486667
86661 (LH1554),Empty-Split,False,[],0.754373473540304,0.8251748251748252,0.6094248169344554,0.7902097902097902,False,0.8628596534355697,False,0.8409184398489211
VT43924 (MB-APL),Empty-Gal4,True,"['PCA1', 'PCA5']",8.159958518308354,0.001998001998001998,1.5441102949325005,0.000999000999000999,True,0.0497002997002997,True,0.018072836254654435
GMR86D09-GAL4,Empty-Gal4,False,[],1.7042402460637882,0.26873126873126874,1.0691535014845224,0.08091908091908091,False,0.49244333648003374,False,0.22641247641247642
LC10-2,Empty-Split,True,['PCA2'],2.740772214240425,0.008991008991008992,0.9760665667585308,0.17582417582417584,False,0.08520051377194235,False,0.3648104472846741
LC10-1,Empty-Split,False,[],1.272273694873246,0.5814185814185814,0.5191455521550388,0.9240759240759241,False,0.7166660499993833,False,0.9334574055386239
LC9,Empty-Split,False,[],2.003465610875889,0.16983016983016982,0.7463381268906575,0.5924075924075924,False,0.4783038743434783,False,0.6934653581712406
LC11,Empty-Split,False,[],1.037474080763762,0.6353646353646354,0.8199157812067634,0.4205794205794206,False,0.7326605978291372,False,0.5470281352634294
LC4,Empty-Split,True,['PCA5'],1.9090939368080213,0.23576423576423577,0.8864278185162456,0.35264735264735264,False,0.4783038743434783,False,0.49074701522253966
LC6,Empty-Split,False,[],2.0885837828593212,0.1978021978021978,0.915691327910729,0.2707292707292707,False,0.4783038743434783,False,0.4380091453262185
"JON-AB
JO-15""",Empty-Gal4,True,"['PCA1', 'PCA3']",2.109779655390389,0.16283716283716285,1.229714206802783,0.008991008991008992,False,0.4783038743434783,False,0.06169692376588929
LC12,Empty-Split,False,[],1.8372386997935917,0.22577422577422576,0.8473632418244388,0.3786213786213786,False,0.4783038743434783,False,0.5232337107337107
MB399B,Empty-Split,False,[],2.203754239841481,0.1848151848151848,1.0167957616816103,0.13186813186813187,False,0.4783038743434783,False,0.308726567550097
MB463B,Empty-Split,False,[],0.5999623582174268,0.9820179820179821,0.7625246889690848,0.6033966033966034,False,0.9869776687958507,False,0.7021983864089127
86712 (LH421),Empty-Split,False,[],1.1261689683945952,0.6063936063936064,0.975977007416667,0.17082917082917082,False,0.7168537345007934,False,0.3648104472846741
86710 (LH290),Empty-Split,True,"['PCA2', 'PCA6']",1.344848816405542,0.4515484515484515,0.9694674316897642,0.2037962037962038,False,0.6418438704152989,False,0.38624232909947204
MB542B,Empty-Split,False,[],0.9529620903507466,0.6003996003996004,0.9807228840951154,0.1928071928071928,False,0.7168537345007934,False,0.37988743929337987
MB371B,Empty-Split,False,[],0.7800728101723977,0.7372627372627373,0.47626291537634874,0.975024975024975,False,0.7887918533079823,False,0.977022977022977
MB549C,Empty-Split,False,[],3.130008526990464,0.06393606393606394,0.9804291123396212,0.15984015984015984,False,0.36352219209362063,False,0.3614567250930887
