Nickname,Control,Dimension,pval,FDR_significant,FDR_pval
LC26,Empty-Split,Dim.3,0.9621482836066155,False,0.997746265959961
LC26,Empty-Split,Dim.4,0.4765462117850495,False,0.8615197760346124
LC26,Empty-Split,Dim.5,0.07909826263265422,False,0.5973644881934798
LC26,Empty-Split,Dim.6,0.068877950232121,False,0.5606017217256474
LC26,Empty-Split,Dim.7,0.6016446404961844,False,0.9045857139367164
LC26,Empty-Split,Dim.8,0.41979076804604143,False,0.8254778936873739
LC26,Empty-Split,Dim.9,0.0905192333421713,False,0.5984494164482421
LC26,Empty-Split,Dim.10,0.7397342431142654,False,0.9457572398312806
LC26,Empty-Split,Dim.11,0.05560287121225844,False,0.5422123224768757
LC26,Empty-Split,Dim.12,0.861855796318015,False,0.9787586371948651
LC26,Empty-Split,Dim.13,0.911826411753384,False,0.9883085835453346
LC26,Empty-Split,Dim.14,0.6016446404961844,False,0.9045857139367164
LC26,Empty-Split,Dim.15,0.068877950232121,False,0.5606017217256474
LC26,Empty-Split,Dim.16,0.7397342431142654,False,0.9457572398312806
LC26,Empty-Split,Dim.17,0.132881986620485,False,0.6416591729941796
LC26,Empty-Split,Dim.18,0.7397342431142654,False,0.9457572398312806
LC26,Empty-Split,Dim.19,0.1591554431461849,False,0.6660764076990703
LC26,Empty-Split,Dim.20,0.886784835609217,False,0.9787586371948651
20G07-GAL4,Empty-Gal4,Dim.1,0.6238520809623239,False,0.9101777592207988
20G07-GAL4,Empty-Gal4,Dim.2,0.1591554431461849,False,0.6660764076990703
20G07-GAL4,Empty-Gal4,Dim.3,0.9621482836066155,False,0.997746265959961
20G07-GAL4,Empty-Gal4,Dim.4,0.5166025822370435,False,0.877166500556072
20G07-GAL4,Empty-Gal4,Dim.5,0.0516819061644163,False,0.5247295574856553
20G07-GAL4,Empty-Gal4,Dim.6,0.005633616187076086,False,0.26681742503146366
20G07-GAL4,Empty-Gal4,Dim.7,0.3038301300878443,False,0.7610093881369543
20G07-GAL4,Empty-Gal4,Dim.8,0.14123841781192514,False,0.6559791672549662
20G07-GAL4,Empty-Gal4,Dim.9,0.2481686938067007,False,0.7246598689293241
20G07-GAL4,Empty-Gal4,Dim.10,0.23544562486885767,False,0.7120619961839312
20G07-GAL4,Empty-Gal4,Dim.11,0.011894169833407837,False,0.3559307965185202
20G07-GAL4,Empty-Gal4,Dim.12,0.5583365375081784,False,0.893158930579803
20G07-GAL4,Empty-Gal4,Dim.13,0.31895098736180794,False,0.7735679035344275
20G07-GAL4,Empty-Gal4,Dim.14,0.886784835609217,False,0.9787586371948651
20G07-GAL4,Empty-Gal4,Dim.15,0.11009878371155198,False,0.6341435009724701
20G07-GAL4,Empty-Gal4,Dim.16,0.6016446404961844,False,0.9045857139367164
20G07-GAL4,Empty-Gal4,Dim.17,0.2750389932009092,False,0.7482263793162123
20G07-GAL4,Empty-Gal4,Dim.18,0.7879850135276372,False,0.9558611258274904
20G07-GAL4,Empty-Gal4,Dim.19,0.911826411753384,False,0.9883085835453346
20G07-GAL4,Empty-Gal4,Dim.20,0.7159745798891979,False,0.9398347057912294
44H11-GAL4,Empty-Gal4,Dim.1,1.0,False,1.0
44H11-GAL4,Empty-Gal4,Dim.2,0.3345561838743112,False,0.7832550657763285
44H11-GAL4,Empty-Gal4,Dim.3,0.35064512183188634,False,0.7893481814993821
44H11-GAL4,Empty-Gal4,Dim.4,0.00824611159729866,False,0.3117475275463405
44H11-GAL4,Empty-Gal4,Dim.5,0.22319125752825608,False,0.7120619961839312
44H11-GAL4,Empty-Gal4,Dim.6,0.003094321598011137,False,0.1986354832271665
44H11-GAL4,Empty-Gal4,Dim.7,0.0905192333421713,False,0.5984494164482421
44H11-GAL4,Empty-Gal4,Dim.8,0.4765462117850495,False,0.8615197760346124
44H11-GAL4,Empty-Gal4,Dim.9,0.6016446404961844,False,0.9045857139367164
44H11-GAL4,Empty-Gal4,Dim.10,0.7397342431142654,False,0.9457572398312806
44H11-GAL4,Empty-Gal4,Dim.11,0.12491355360268398,False,0.6390179220291545
44H11-GAL4,Empty-Gal4,Dim.12,0.26136517590616637,False,0.7346281074198744
44H11-GAL4,Empty-Gal4,Dim.13,0.7637449284635762,False,0.9534833172161334
44H11-GAL4,Empty-Gal4,Dim.14,0.28919323724869117,False,0.7488543163629089
44H11-GAL4,Empty-Gal4,Dim.15,0.4963589047945871,False,0.8672117827403234
44H11-GAL4,Empty-Gal4,Dim.16,0.911826411753384,False,0.9883085835453346
44H11-GAL4,Empty-Gal4,Dim.17,0.09670812608840504,False,0.6158373469309633
44H11-GAL4,Empty-Gal4,Dim.18,0.26136517590616637,False,0.7346281074198744
44H11-GAL4,Empty-Gal4,Dim.19,0.692486835516168,False,0.9307995965398003
44H11-GAL4,Empty-Gal4,Dim.20,0.41979076804604143,False,0.8254778936873739
KC-γd-GaL4,Empty-Split,Dim.1,0.8370636154898536,False,0.9715699007435455
KC-γd-GaL4,Empty-Split,Dim.2,0.068877950232121,False,0.5606017217256474
KC-γd-GaL4,Empty-Split,Dim.3,0.911826411753384,False,0.9883085835453346
KC-γd-GaL4,Empty-Split,Dim.4,0.20006609056316782,False,0.6880821380202434
KC-γd-GaL4,Empty-Split,Dim.5,0.861855796318015,False,0.9787586371948651
KC-γd-GaL4,Empty-Split,Dim.6,0.17874135975693473,False,0.683372345660519
KC-γd-GaL4,Empty-Split,Dim.7,0.692486835516168,False,0.9307995965398003
KC-γd-GaL4,Empty-Split,Dim.8,0.4963589047945871,False,0.8672117827403234
KC-γd-GaL4,Empty-Split,Dim.9,0.2750389932009092,False,0.7482263793162123
KC-γd-GaL4,Empty-Split,Dim.10,0.886784835609217,False,0.9787586371948651
KC-γd-GaL4,Empty-Split,Dim.11,0.5798009470581065,False,0.8990192064032986
KC-γd-GaL4,Empty-Split,Dim.12,0.5583365375081784,False,0.893158930579803
KC-γd-GaL4,Empty-Split,Dim.13,0.5166025822370435,False,0.877166500556072
KC-γd-GaL4,Empty-Split,Dim.14,0.14999297257278157,False,0.66151084223241
KC-γd-GaL4,Empty-Split,Dim.15,0.6692911266180891,False,0.9247307541328884
KC-γd-GaL4,Empty-Split,Dim.16,0.132881986620485,False,0.6416591729941796
KC-γd-GaL4,Empty-Split,Dim.17,0.911826411753384,False,0.9883085835453346
KC-γd-GaL4,Empty-Split,Dim.18,0.36721620202250527,False,0.8008331419449704
KC-γd-GaL4,Empty-Split,Dim.19,0.014206802217273171,False,0.38728132071744675
KC-γd-GaL4,Empty-Split,Dim.20,0.9621482836066155,False,0.997746265959961
