FPCA1,FPCA2,FPCA3,FPCA4,FPCA5,FPCA6,FPCA7,FPCA8,FPCA9,FPCA10
-49891.7086287115,933.2133398167628,6519.494036340086,-3185.208282190516,-6326.8213197411515,3495.9678616608494,-197.06896335826664,1051.0888466076422,-403.15822670116415,934.4267729505541
40802.60443253666,40403.57119422637,-5911.988690018709,-13499.843161053017,-1560.9696598416265,-15183.402125918052,-4162.270901616996,-5602.535220294084,-4693.71589317544,-1780.4757330613406
-26878.013734240794,23923.11015669222,27283.67404087433,1651.9888186000692,-10220.218937307538,5469.5372521102945,-566.6264727946025,2344.966457569488,2217.044681043258,357.216130021502
-72546.31202672777,-22904.644995135415,-9452.93971287457,-395.16555146072244,4486.943843196845,-4801.247661072989,3548.172432263621,1104.5683609042596,-310.95166231251676,377.12583510168366
-77480.21996435155,-25807.65749124298,-15104.893017525861,-4025.742101998795,-1777.9601261289638,124.90512209923881,521.928538534509,246.30487064994256,111.0315494816699,92.42410476283042
-11893.215913851232,39677.84940551235,26195.747022211348,-3378.2194817665127,-8499.802695144028,1417.0937716780734,1066.3280107074331,-1215.3734277447068,-2728.3070043497646,-1978.1347688475844
-38187.96465532531,-29501.117953074925,-743.2795909145478,-1997.4594442863984,12761.597342914538,-1909.5721345996267,7126.32129129729,1233.1013640889414,-316.60548291990824,1819.125288946361
-52319.03795342951,-26488.995317950656,-20224.856781546005,-1046.5476933904163,-4125.94165818177,2898.586345353047,10171.348119790839,1299.7075926921134,-8193.909838019752,-812.5663456292386
-8816.578966568777,-44776.23527420041,12010.62601260729,-26938.2027004378,-59.18815851647824,-3457.253108970568,13068.232914307098,3915.1229401283185,-4629.417600350788,3128.2288526934535
-8030.552304490914,31162.54858233103,31744.483476374986,-7438.031727439355,-24638.466616200752,2941.012423120088,13933.632200702486,8064.69048843262,7374.384580978582,1799.7159024156324
-38910.31230919526,-2197.167495247524,12139.875264808557,4041.4642645369636,7966.5922823621795,-3730.0521736531678,7655.488935517881,2519.835984620424,-1352.5151579866185,-1749.0745957541496
4667.646328348331,-16525.708771897505,-36889.96774557405,-25012.59535308774,39767.82092153474,-15144.803409857897,13849.711771430373,-9832.03410908477,-20757.52011915831,-8205.701623967128
-46675.3217338361,-7451.214186107679,20341.594472153385,15670.0432500889,10618.648868664803,-4681.337545987834,-897.7387213983653,-3373.4175680986864,1542.3979860221666,-1067.877033694413
-11128.509644302758,29924.06608168439,31814.056504261036,-5974.926350503213,-17688.97689889884,6322.237410798913,8297.664351397301,8479.55907580622,4793.68261229433,1068.4318191117732
30954.67540835722,54622.76781631403,17501.81624714397,-17575.712528351272,-10969.510466778353,-7821.559948136972,5066.741769694429,-5235.693438223584,-4951.585269040306,-3430.237262683163
-62724.45539901186,-18310.36402010508,931.4537494287739,8074.186174312026,14977.005796225589,-12956.242599827694,13187.457218215726,3543.686297797022,1542.676544089682,320.650740593508
61086.237699124955,19695.237092971292,-27018.299712022832,20676.87550332113,-3886.930269078453,7771.354324611649,6253.0690397611015,-5842.481529169972,-3617.6937050936162,5295.877480110756
-43221.02034363329,-12856.364620714416,14502.52386968668,7867.705294594771,5214.996360005871,-4861.973424932305,-3635.792988606697,364.4255624837669,-46.73092232972943,104.80123275570791
-40912.650371506716,10528.109866218434,33972.65714258521,16071.271101816683,4617.324596574211,9504.345858140236,-15266.645017587334,-4161.104299966882,-2274.3130395492985,-2195.554747389221
84426.10597934543,-868.4001602828941,-15176.418125941154,14899.709497598873,-4818.985963804258,1804.8643142762037,3798.735667662574,-8132.755048909117,5516.467577992077,141.77731676445177
59895.41749102739,42679.360931323245,-21741.670663836812,-9797.528151083698,8942.952588115997,-9487.620854521969,-13273.090198191541,9282.31881271128,12941.289003859223,2669.590871430365
121894.26607826374,-58701.221399363174,16183.040768073304,-13555.082822582512,8021.373881938054,6729.680716326337,2859.986496600796,-3573.432685080116,1749.3710141945157,-1710.5027364205205
22936.4745539896,46640.43328001029,-1306.3783291385982,-11838.911149119052,3272.582515611567,-1913.5238978339285,-5864.312155909229,2657.457210221409,8010.095264701516,5689.60191046202
75417.47317340973,-22152.78671543062,6351.227273086991,-8397.449703645654,10664.375609840112,3431.223799906231,1195.4584765667985,-663.1325938400526,3248.428570135091,-1797.9586566421294
114444.3029355316,-34543.95992562396,-2165.7231039032627,18519.625686610638,-21240.45198382624,-25009.5886025536,-12950.7304463129,15264.377509620062,-5868.176124190213,-4222.455745029699
54276.846139455054,30483.234992258705,-20228.86622938044,1750.8111082790847,9745.315307661416,8135.337463633985,448.61666001492966,5870.565588404579,-3178.934048397304,-10450.797988948376
-36494.16500533109,532.8955579717865,36529.15132178623,19449.44412880024,6619.907819667611,-1023.0162194925408,-14139.257111384939,-4070.3176551937004,-1381.645622366496,-747.16330776367
128202.46640514932,-58324.0232786947,16353.634343140655,-11510.562629413746,6659.2238086832585,4183.650281952927,1614.523296529891,-1184.2633870020532,-233.13904678041445,1256.992098474775
142455.4886821362,-60502.2167800186,20103.94218369727,-13343.171528587609,10313.327873456468,6598.901765493878,3866.7153115446786,-3651.4237642312346,1930.9897090895088,-1967.7580209779464
68079.04881898322,16592.00772040851,-21003.55478152058,23245.537571504712,-6492.818410748212,4365.810802593644,3955.722410767993,-12744.84456989138,10326.629862585827,3601.5889129966417
35918.2383924481,61189.738550690025,3371.8033877171783,-18672.38637203859,-2798.329785315194,-8667.698067923771,4356.099994434487,-3852.7050267499867,-4676.461798666311,-300.5347045192846
-74744.61054814413,-28079.0989685891,-18419.106088368637,-7071.616941827955,-4759.609603741165,2101.2209080205967,-1444.09913079882,-287.3731635011359,267.724849097075,353.8498616558295
-67369.61636102393,-31954.620439687435,-19666.203860438636,-15444.894872362998,-7747.495173343949,8271.71096173238,-1.59243505562193,-1282.1280407053662,464.31163561527256,412.17799149231575
138900.53176027857,-31902.52866504959,647.8631819583521,12836.734071825487,-19561.921544548743,-18819.47608528642,-15952.963357428769,18981.696092159244,-11483.30717327011,7945.535264961974
70174.80715714635,40799.526398495655,-27343.680337018777,15854.563605748992,5283.485131889799,5471.2935900462235,1986.5504680126678,-957.1759429734116,870.5646387848461,5977.286203966642
9401.941765458187,29939.038156833532,5557.4511677277005,7059.953177878514,4794.687911944441,10074.204687112875,-5216.838076744287,2948.710556753709,-3365.517970972373,-8579.417199068806
37354.41371629771,44327.8775358639,6630.360434183629,-9430.487603958602,-5155.411747068137,2086.0661557879416,11128.273430477468,-1677.1410121044478,-11428.661584159821,4753.23602548505
82847.74675179663,-1397.4691374533352,-19338.181606993658,24409.231514907147,-14191.147008178252,-7014.280862867368,-1493.4958682183665,2616.539880928374,-4617.824209152911,-264.2876833004698
-58809.64744318291,-8712.126273044934,13201.951802591551,15062.378971772529,14678.984066361967,-8176.822893442571,5022.148476880557,415.5744707323261,749.1523070897499,-1518.4154376316983
