"eigenvalue","percentage of variance","cumulative percentage of variance"
1.85671962915967,28.2093689606097,28.2093689606097
1.14432798613535,17.3859153885574,45.5952843491671
0.628028170135712,9.54170898545037,55.1369933346175
0.337198512210283,5.12309833672284,60.2600916713403
0.224686142442804,3.4136841087708,63.6737757801111
0.210987783478217,3.20556326159593,66.8793390417071
0.184578625623613,2.80432568853452,69.6836647302416
0.157761297158367,2.39688672934371,72.0805514595853
0.141006609676406,2.14233070829692,74.2228821678822
0.123039281734711,1.86935089207505,76.0922330599573
0.119614729692206,1.81732125304141,77.9095543129987
0.114439333660232,1.73869082662141,79.6482451396201
0.105132515971211,1.59729120445145,81.2455363440715
0.103243370805887,1.5685891903445,82.814125534416
0.0999689664082959,1.51884076288823,84.3329662973043
0.0962348339249237,1.46210763026178,85.795073927566
0.0944324842710614,1.43472431100165,87.2297982385677
0.0873189504696,1.32664751983312,88.5564457584008
0.0822069018678203,1.24897953868648,89.8054252970873
0.0754849705485517,1.14685241204058,90.9522777091279
0.065573630557876,0.996268208426833,91.9485459175547
0.0478612047986127,0.727161152313786,92.6757070698685
0.044627156330662,0.678025857444197,93.3537329273127
0.0391833691851428,0.595317731931203,93.9490506592439
0.0350272644980475,0.53217352387958,94.4812241831235
0.0339498907142548,0.515804851895834,94.9970290350193
0.0311591702724286,0.473405094079399,95.4704341290987
0.0296994069457475,0.451226730889395,95.9216608599881
0.0285562220435555,0.433858182515332,96.3555190425034
0.0275526004764037,0.418610037001071,96.7741290795045
0.026498933394352,0.40260154384333,97.1767306233478
0.0256984024856581,0.39043897960204,97.5671696029499
0.0248585801355583,0.377679455674319,97.9448490586242
0.022826750639497,0.346809621037313,98.2916586796615
0.0213136733588545,0.323821252408454,98.61547993207
0.019687541906059,0.299115237881575,98.9145951699515
0.0142467939330165,0.216453286888625,99.1310484568401
0.0139165182559427,0.211435368034874,99.342483824875
0.0107511413364886,0.16334340842076,99.5058272332958
0.0082230570884673,0.124933914496136,99.6307611477919
0.00542457530819878,0.0824162377132027,99.7131773855051
0.00388463655230222,0.0590197593975782,99.7721971449027
0.00312543958236239,0.0474851867553411,99.819682331658
0.00241971519484145,0.0367630296135606,99.8564453612716
0.00233389777776503,0.0354591950746589,99.8919045563463
0.00220572340319078,0.0335118260875077,99.9254163824338
0.00190238047304646,0.0289030997598249,99.9543194821936
0.00163944049650485,0.024908220459651,99.9792277026532
0.00136069832876324,0.0206732565312188,99.9999009591845
6.51878650829281e-06,9.90407226270903e-05,99.9999999999071
6.11505109797051e-12,9.29067210398934e-11,100
