Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,MannWhitney_corrected_pvals,MannWhitney_raw_pvals,MannWhitney_dims_tested,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
LC16-1,Empty-Split,False,[],"[0.7637449284635762, 0.7637449284635762, 0.7637449284635762, 0.21228801159979876, 0.47089124973771534, 0.42371525343577543]","[0.692486835516168, 0.7637449284635762, 0.6692911266180891, 0.035381335266633125, 0.23544562486885767, 0.14123841781192514]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.28660506738213,0.13086913086913088,1.1391644252841724,0.03196803196803197,False,0.4560733384262796,False,0.14081751581751584
LC13,Empty-Split,False,[],"[0.8301322406402155, 0.5096819116085913, 0.4323322887780729, 0.5096819116085913, 0.71692298950418, 0.8301322406402155]","[0.80449274880142, 0.25484095580429567, 0.07205538146301214, 0.24132772751593679, 0.4779486596694533, 0.8301322406402155]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.8225154776418653,0.22877122877122877,1.0316331581006117,0.1048951048951049,False,0.4560733384262796,False,0.26422944144463134
LC20,Empty-Split,False,[],"[0.3214072533907286, 0.3214072533907286, 0.7042746132087777, 0.3214072533907286, 0.7042746132087777, 0.7042746132087777]","[0.08313865519081831, 0.11694331449775575, 0.6089476244742323, 0.1607036266953643, 0.5860416230076372, 0.7042746132087777]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.550076858734704,0.44155844155844154,1.1175373015957504,0.054945054945054944,False,0.632159207698776,False,0.17924698252567106
LC22,Empty-Split,True,['PCA1'],"[0.04504371048703422, 0.8370636154898536, 0.4125584898013638, 0.3783646198406019, 0.482151881622627, 0.3783646198406019]","[0.00750728508117237, 0.8370636154898536, 0.2750389932009092, 0.14999297257278157, 0.4017932346855225, 0.18918230992030094]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.3922372812516146,0.23376623376623376,0.9701303916302776,0.1928071928071928,False,0.4560733384262796,False,0.3765753477291938
R44B10 (Ventral P-FN silencing line),Empty-Gal4,False,[],"[0.7159745798891979, 0.7159745798891979, 0.7159745798891979, 0.7159745798891979, 0.7159745798891979, 0.7159745798891979]","[0.41979076804604143, 0.14999297257278157, 0.7159745798891979, 0.45717472658891667, 0.5166025822370435, 0.6016446404961844]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.809560660668422,0.08791208791208792,0.9509525657671862,0.2007992007992008,False,0.4485770639616794,False,0.3770367563471012
23292 (ORCO-GAL4),Empty-Gal4,True,['PCA2'],"[0.7637449284635762, 0.006348811327789961, 0.670003845009814, 0.670003845009814, 0.670003845009814, 0.42371525343577543]","[0.7637449284635762, 0.0010581352212983269, 0.45717472658891667, 0.5583365375081784, 0.43825357196871007, 0.14123841781192514]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",3.0909931909396877,0.014985014985014986,1.1552982636956601,0.03396603396603397,False,0.12425074925074926,False,0.14081751581751584
86633 (LH2382),Empty-Split,False,[],"[0.47458957579592537, 0.8370636154898536, 0.6199230986844522, 0.6199230986844522, 0.6001982716895035, 0.6199230986844522]","[0.07909826263265422, 0.8370636154898536, 0.41979076804604143, 0.5166025822370435, 0.20006609056316782, 0.3345561838743112]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",0.6139966193749662,0.8621378621378621,0.6327517488755768,0.7712287712287712,False,0.8889400754685729,False,0.8351811232246016
23137 (OR88a-GAL4),Empty-Gal4,False,[],"[0.39950538459285856, 0.8559539033635253, 0.42513564924783187, 0.42513564924783187, 0.8559539033635253, 0.39950538459285856]","[0.12485048506719679, 0.753865329868274, 0.28342376616522125, 0.268871649924487, 0.8559539033635253, 0.13316846153095285]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",0.8506237638321356,0.7572427572427572,0.936170210007337,0.23776223776223776,False,0.8101683262973585,False,0.3976023976023976
86698 (LH258),Empty-Split,False,[],"[0.9868335403179407, 0.9868335403179407, 0.9868335403179407, 0.43166619013676644, 0.09163258888522172, 0.1731741033697835]","[0.9868335403179407, 0.6799279308955285, 0.9342393414808573, 0.21583309506838322, 0.015272098147536953, 0.05772470112326117]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.156270318720822,0.1958041958041958,0.8960555427200639,0.32167832167832167,False,0.4560733384262796,False,0.4605322734819137
23129 (ORCO mutant),TNTxPR,False,[],"[0.9873785512460885, 0.9873785512460885, 0.9873785512460885, 0.9873785512460885, 0.9873785512460885, 0.9873785512460885]","[0.4963589047945871, 0.4765462117850495, 0.911826411753384, 0.9873785512460885, 0.537265926636113, 0.6692911266180891]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",0.8570931652315671,0.6583416583416584,0.7037088324022923,0.6843156843156843,False,0.7443749432385796,False,0.7607755373118502
MBON-08-GaL4  MBON-09-GaL4 ,Empty-Split,True,['PCA2'],"[0.6140597657535107, 0.009668360618993892, 0.39864492072217333, 0.7189715050635516, 0.4234511649641708, 0.6140597657535107]","[0.4848641211897319, 0.0016113934364989817, 0.13288164024072444, 0.7189715050635516, 0.2117255824820854, 0.511716471461259]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",4.58350613156926,0.003996003996003996,1.4360877501371676,0.002997002997002997,False,0.05301365301365302,True,0.037275224775224776
