Genotype,Nickname,Simplified region,Simplified Nickname,Old Simplified Nickname,Split
M7,PR,Control,Wild-type(PR),PR,m
TNTxZ2018,Empty-gal4,Control,Empty-Gal4,Empty-Gal4,n
TNTxZ2035,Empty-Split,Control,Empty-Split-Gal4,Empty-Split,y
TNTxM6,TNTxCS,Control,TNTxCS,TNTxCS,m
TNTxM7,TNTxPR,Control,TNTxPR,TNTxPR,m
M6,CS,Control,Wild-Type(CS),CS,m
PR,PR,Control,Wild-type(PR),PR,m
TNTxZ1661,R70G12-gal4,CX,E-PG,GMR70G12-Gal4,n
TNTxZ1711,SS32230-gal4,CX,SS32230(LAL-1),SS32230-Gal4,y
TNTxZ1712,SS32219-gal4,CX,SS32219(LAL-2),SS32219-Gal4,y
TNTxZ1973,R59B10-gal4,CX,R4m-medial(EB),R59B10-gal4 ,n
TNTxZ1974,R78A01-gal4,CX,ExR1(EB),R78A01 ,n
TNTxZ1975,R80C07-gal4,CX,ER3D(EB),R80C07-gal4 ,n
TNTxZ1979,R28D01-gal4,CX,ER3m(EB),R28D01-gal4 ,n
TNTxZ1980,R38H02-gal4,CX,R4(EB),R38H02-gal4 ,n
TNTxZ1981,R84H09-gal4,CX,ER3d(EB),R84H09-gal4 ,n
TNTxZ1982,R12G08-gal4,CX,ER3a(EB),R12G08-gal4 ,n
TNTxZ1983,R78B06-gal4,CX,ER2(EB),R78B06-gal4 ,n
TNTxZ1984,R12B01-gal4,CX,R4d(EB),R12B01-gal4 ,n
TNTxZ1985,R12D09-gal4,CX,P-EN1,R12D09 ,n
TNTxZ1987,R14G09-gal4,CX,ExR4,R14G09 ,n
TNTxZ1988,R15B07-gal4,CX,R1-R3-R4d(EB),R15B07-gal4 ,n
TNTxZ1990,R28E01-gal4,CX,ER3m(EB),R28E01-gal4 ,n
TNTxZ1991,R31A12-gal4,CX,ER1(EB),R31A12-Gal4 ,n
TNTxZ1993,R44B10-gal4,CX,P-FN-ventral,R44B10 ,n
TNTxZ2025,R19G02-gal4,CX,E-PG-1,R19G02 ,y
TNTxZ2026,SS00078-gal4,CX,PB-3,SS00078-gal4 ,y
TNTxZ2029,SS02255-gal4,CX,FSB-1,SS02255-GAL4 ,y
TNTxZ2030,SS02239-gal4,CX,P-F3LC,SS02239-gal4 ,y
TNTxZ2036,SS52244-gal4,CX,FSB-3,SS52244-GAL4 ,y
TNTxZ2037,SS54549-gal4,CX,FSB-4,SS54549 ,y
TNTxZ2038,SS54295-gal4,CX,PB-2,SS54295-gal4 ,y
TNTxZ2039,SS52577-gal4,CX,PB-1,SS52577-gal4 ,y
TNTxZ2040,SS47432-gal4,CX,LNa,SS47432 ,y
TNTxZ2041,R70G12-gal4,CX,E-PG,R70G12 ,y
TNTxLAL2,SS32219-gal4,CX,SS32219(LAL-2),SS32219-Gal4 ,y
TNTxLAL1,SS32230-gal4,CX,SS32230(LAL-1),SS32230-Gal4 ,y
TNTxEPG,R70G12-gal4,CX,E-PG,GMR70G12-Gal4,n
TNTxZ1899,SS01053-gal4,DN,DNP02,DNp02,y
TNTxZ1900,pC1-SS1,DN,DN pC1-SS1,pC1-SS1,y
TNTxG54,R86D09-gal4,fchON,fchOn,GMR86D09-GAL4,n
TNTxG53,JON-AB(JO-15),JON,JON,JON-AB,n
TNTxZ1893,LH188,LH,LH188,LH188,y
TNTxZ1894,LH290,LH,LH290,LH290,y
TNTxZ1895,LH421,LH,LH421,LH421,y
TNTxZ1896,LH279,LH,LH279,LH279,y
TNTxZ1897,LH180,LH,LH180,LH180,y
TNTxZ1898,LH18,LH,LH18,LH18,y
TNTxZ1723,LH2446,LH,LH2446,LH2446,y
TNTxZ1740,LH2454,LH,LH2454,LH2454,y
TNTxZ1810,LH1543,LH,LH1543,LH1543,y
TNTxZ1821,LH2445,LH,LH2445,LH2445,y
TNTxZ1841,LH528,LH,LH528,LH528,y
TNTxZ1843,LH1827,LH,LH1827,LH1827,y
TNTxZ1845,LH2001,LH,LH2001,LH2001,y
TNTxZ1846,LH2201,LH,LH2201,LH2201,y
TNTxZ1847,LH2385,LH,LH2385,LH2385,y
TNTxZ1848,LH2392,LH,LH2392,LH2392,y
TNTxZ1849,LH2382,LH,LH2382,LH2382,y
TNTxZ1850,LH2193,LH,LH2193,LH2193,y
TNTxZ1851,LH2087,LH,LH2087,LH2087,y
TNTxZ1873,LH191,LH,LH191,LH191,y
TNTxZ1874,LH1112,LH,LH1112,LH1112,y
TNTxZ1875,LH788,LH,LH788,LH788,y
TNTxZ1876,LH141,LH,LH141,LH141,y
TNTxZ1877,LH85,LH,LH85,LH85,y
TNTxZ1878,LH168,LH,LH168,LH168,y
TNTxZ1879,LH272,LH,LH272,LH272,y
TNTxZ1880,LH374,LH,LH374,LH374,y
TNTxZ1881,LH1479,LH,LH1479,LH1479,y
TNTxZ1882,LH979,LH,LH979,LH979,y
TNTxZ1883,LH1337,LH,LH1337,LH1337,y
TNTxZ1884,LH1284,LH,LH1284,LH1284,y
TNTxZ1886,LH989,LH,LH989,LH989,y
TNTxZ1887,LH258,LH,LH258,LH258,y
TNTxZ1888,LH123,LH,LH123,LH123,y
TNTxZ1889,LH849,LH,LH849,LH849,y
TNTxZ1890,LH1531,LH,LH1531,LH1531,y
TNTxZ1891,LH1668,LH,LH1668,LH1668,y
TNTxZ1892,LH578,LH,LH578,LH578,y
TNTxZ1852,LH2220,LH,LH2220,LH2220,y
TNTxZ1854,LH1990,LH,LH1990,LH1990,y
TNTxZ1855,LH1900,LH,LH1900,LH1900,y
TNTxZ1856,LH1893,LH,LH1893,LH1893,y
TNTxZ1857,LH1959,LH,LH1959,LH1959,y
TNTxZ1858,LH2033,LH,LH2033,LH2033,y
TNTxZ1859,LH1925,LH,LH1925,LH1925,y
TNTxZ1860,LH721,LH,LH721,LH721,y
TNTxZ1861,LH629,LH,LH629,LH629,y
TNTxZ1862,LH1744,LH,LH1744,LH1744,y
TNTxZ1863,LH1721,LH,LH1721,LH1721,y
TNTxZ1865,LH1554,LH,LH1554,LH1554,y
TNTxZ1866,LH1139,LH,LH1139,LH1139,y
