Genotype,Nickname,Simplified region,Simplified Nickname,Old Simplified Nickname,Split
TNTxZ1867,LH1000,LH,LH1000,LH1000,y
TNTxZ1868,LH567,LH,LH567,LH567,y
TNTxZ1869,LH1594,LH,LH1594,LH1594,y
TNTxZ1870,LH412,LH,LH412,LH412,y
TNTxZ1871,LH247,LH,LH247,LH247,y
TNTxZ1872,LH542,LH,LH542,LH542,y
TNTxG78,KC-α/βc-gal4,MB,KC-α-βc,KC-α/βc-GaL4,y
TNTxG79,KC-γd-gal4,MB,KC-γd,KC-γd-GaL4,y
TNTxG80,MBON-γ1pedc-to-α/β(MBON-11-gal4),MB,MBON 11,MBON-11-GaL4,y
TNTxG81,KC-γmain-gal4,MB,KC-γmain,KC-γmain-GaL4,y
TNTxG82,KC-α/βs-gal4,MB,KC-α-βs,KC-α/βs-GaL4,y
TNTxG83,MBON-γ5β′2a(MBON-01-gal4),MB,MBON-γ5β′2a,MBON-01-GaL4,y
TNTxG84,MBON-β′1(MBON-10-gal4),MB,MBON-β′1,MBON-10-GaL4,y
TNTxG85,MBON-γ2α′1(MBON-12-gal4),MB,MBON-γ2α′1,MBON-12-GaL4,y
TNTxG86,MBON-α3(MBON-14-gal4),MB,MBON-α3,MBON-14-GaL4,y
TNTxG87,MBON-γ3-MBON-γ3β′1(MBON-08-MBON-09-gal4),MB,MBON-γ3_MBON-γ3β′1,MBON-08-GaL4  MBON-09-GaL4 ,y
TNTxG88,MBON-β′2mp_bilateral(MBON-04-gal4),MB,MBON-β′2mp_bilateral,MBON-04-GaL4,y
TNTxG89,MBON-α′2(MBON-13-gal4),MB,MBON-α′2,MBON-13-GaL4,y
TNTxG90,MBON-α′3ap-MBON-α′3m(MBON-16-MBON-17-gal4),MB,MBON-α′3ap_α′3m,MBON-16-GaL4   MBON-17-Gal4 ,y
TNTxG91,MBON-β′2mp(MBON-03-gal4),MB,MBON-β′2mp,MBON-03-GaL4,y
TNTxG92,MBON-calyx(MBON-22-gal4),MB,MBON-calyx,MBON-22-GaL4,y
TNTxG93,MBON-α1(MBON-07-gal4),MB,MBON-α1,MB310C,y
TNTxG94,KCα′/β′m,MB,KC-α'-β'm,MB418B ,y
TNTxG95,MBON-γ4-to-γ1γ2-MBON-β1-to-α(MBON-05-MBON-06-gal4),MB,MBON-γ4toγ1γ2_MBON-β1toα,MB434B,y
TNTxG96,MBON-α′1(MBON-15-2-gal4),MB,MBON-α′1,MB543B,y
TNTxG97,MBON-β2β′2a(MBON-02-1-gal4),MB,MBON-β2β′2a,MB399B,y
TNTxG98,KCα′/β′ap,MB,KC-α′-β′ap,MB463B,y
TNTxG99,MBON-α2p3p(MBON-19-2-gal4),MB,MBON-α2p3p,MB542B,y
TNTxG100,MBON-α′3ap(MBON-16-1-gal4),MB,MBON-α′3ap_α2sc,MB549C,y
TNTxG101,KCα/βp,MB,KC-α-βp,MB371B,y
TNTxZ1633,854 (OK107-gal4),MB,OK107,OK107-Gal4,n
TNTxZ1638,7362 (C739-gal4),MB,C739,C739-Gal4,n
TNTxZ1676,50742 (MB247-gal4),MB,MB247,MB247-GAL4,n
TNTxMB247,MB247-gal4,MB,MB247-2,MB247-Gal4,n
TNTxZ1636,DDC-gal4,MB extrinsic neurons,DDC-Gal4,DDC-gal4,n
TNTxZ1640,Ple-gal4.F a.k.a TH-gal4,MB extrinsic neurons,TH-Gal4,TH-Gal4,n
TNTxZ1972,c316 (MB-DPM),MB extrinsic neurons,MB-DPM(2),MB-DPM,n
TNTxZ1978,R58E02 (All PAMs),MB extrinsic neurons,All PAMs,All PAMs,n
TNTxZ1994,474 (MB-APL),MB extrinsic neurons,MB-APL-2,MB-APL,n
TNTxZ1995,MB063B (PAM-10),MB extrinsic neurons,PAM-10,PAM-10,y
TNTxZ1996,MB441B (PAM-12),MB extrinsic neurons,PAM-12,PAM-12,y
TNTxZ1997,MB320C (PPL1-01),MB extrinsic neurons,PPL1-01,PPL1-01,y
TNTxZ1998,MB109B (PAM-02),MB extrinsic neurons,PAM-02,PAM-02,y
TNTxZ1999,MB113C (OA-VPM4),MB extrinsic neurons,OA-VPM4,OA-VPM4,y
TNTxZ2000,MB188B (PAM-08),MB extrinsic neurons,PAM-08,PAM-08,y
TNTxZ2001,MB194B (PAM-09),MB extrinsic neurons,PAM-09,PAM-09,y
TNTxZ2002,MB213B (PAM-04),MB extrinsic neurons,PAM-04,PAM-04,y
TNTxZ2003,MB056B (PAM-05),MB extrinsic neurons,PAM-05,PAM-05,y
TNTxZ2004,MB058B (PPL1-05),MB extrinsic neurons,PPL1-05,PPL1-05,y
TNTxZ2005,MB065B (PPL1-06),MB extrinsic neurons,PPL1-06,PPL1-06,y
TNTxZ2006,MB013B (SIFamide),MB extrinsic neurons,SIFamide,SIFamide,y
TNTxZ2007,MB022B (OA-VPM3),MB extrinsic neurons,OA-VPM3,OA-VPM3,y
TNTxZ2008,MB025B (PAM-13-14),MB extrinsic neurons,PAM-13-14,PAM-13-14,y
TNTxZ2009,MB032B (PAM-06),MB extrinsic neurons,PAM-06,PAM-06,y
TNTxZ2010,MB043B (PAM-11),MB extrinsic neurons,PAM-11,PAM-11,y
TNTxZ2011,MB296B (PPL1-03),MB extrinsic neurons,PPL1-03,PPL1-03,y
TNTxZ2012,MB301B (PAM-03),MB extrinsic neurons,PAM-03,PAM-03,y
TNTxZ2013,MB312B (PAM-07),MB extrinsic neurons,PAM-07,PAM-07,y
TNTxZ2014,MB315C (PAM-01),MB extrinsic neurons,PAM-01,PAM-01,y
TNTxZ2015,MB504B (All PPL1),MB extrinsic neurons,All PPL1,All PPL1,y
TNTxZ2016,MB304B (PPL1-04),MB extrinsic neurons,PPL1-04,PPL1-04,y
TNTxZ2017,MB465C (MB-CSD),MB extrinsic neurons,MB-CSD,MB-CSD,y
TNTxZ2027,MB380B (MB-C1),MB extrinsic neurons,MB-C1,MB-C1,y
TNTxZ2042,VT43924 (MB-APL),MB extrinsic neurons,MB-APL,MB-APL,n
TNTxZ2043,VT64246 (MB-DPM),MB extrinsic neurons,MB-DPM,MB-DPM,n
TNTxDDC,DDC-gal4,MB extrinsic neurons,DDC-2,DDC-gal4,n
TNTxPLE,Ple-gal4.F a.k.a TH-gal4,MB extrinsic neurons,TH,TH-Gal4,n
TNTxTH,Ple-gal4.F a.k.a TH-gal4,MB extrinsic neurons,TH-2,TH-Gal4,n
TNTxZ1698,Dh31-gal4 5F,Neuropeptide,Dh31-5F,Dh31-GAL4 5F,n
TNTxZ1699,FMRFa-gal4 1M,Neuropeptide,FMRFa-1M,FMRFa-GAL4 1M,n
TNTxZ1700,sNPF-gal4 2,Neuropeptide,sNPF-2,sNPF-GAL4 2,n
TNTxZ1701,Lk-gal4 1,Neuropeptide,Lk-1,Lk-GAL4 1,n
TNTxZ1702,Lk-gal4 2M,Neuropeptide,Lk-2M,Lk-GAL4 2M,n
TNTxZ1703,AstC-gal4 1M,Neuropeptide,AstC1M,AstC-GAL4 1M,n
TNTxZ1678,Capa-gal4 4F,Neuropeptide,Capa4F,Capa-GAL4 4F,n
TNTxZ1679,Capa-gal4 5F,Neuropeptide,Capa5F,Capa-GAL4 5F,n
TNTxZ1680,Proc-gal4 2M,Neuropeptide,Proc2M,Proc-GAL4 2M,n
TNTxZ1681,Proc-gal4 6M,Neuropeptide,Proc6M,Proc-GAL4 6M,n
TNTxZ1682,Tk-gal4 2Ma,Neuropeptide,Tk-2Ma,Tk-GAL4 2Ma,n
TNTxZ1683,Tk-gal4 3Ma,Neuropeptide,Tk-3Ma,Tk-GAL4 3Ma,n
TNTxZ1684,Tk-gal4 5Fa,Neuropeptide,Tk-5Fa,Tk-GAL4 5Fa,n
TNTxZ1685,Crz-gal4 3M,Neuropeptide,Crz-3M,Crz-GAL4 3M,n
TNTxZ1686,Crz-gal4 4M,Neuropeptide,Crz-4M,Crz-GAL4 4M,n
TNTxZ1687,AstA-gal4 3M,Neuropeptide,AstA-3M,AstA-GAL4 3M,n
TNTxZ1688,AstA-gal4 5,Neuropeptide,AstA-5,AstA-GAL4 5,n
TNTxZ1689,Burs-gal4 4M,Neuropeptide,Burs-4M,Burs-GAL4 4M,n
TNTxZ1690,Dsk-gal4 3M,Neuropeptide,Dsk-3M,Dsk-GAL4 3M,n
TNTxZ1691,ETH-gal4 1M,Neuropeptide,ETH-1M,ETH-GAL4 1M,n
TNTxZ1692,Mip-gal4 1M,Neuropeptide,Mip-1M,Mip-GAL4 1M,n
TNTxZ1693,Mip-gal4 2M,Neuropeptide,Mip-2M,Mip-GAL4 2M,n
TNTxZ1694,Ms-gal4 1M,Neuropeptide,Ms-1M,Ms-GAL4 1M,n
TNTxZ1695,Ms-gal4 6Ma,Neuropeptide,Ms-6Ma,Ms-GAL4 6Ma,n
TNTxZ1696,Dh44-gal4 2M,Neuropeptide,Dh44-2M,Dh44-GAL4 2M,n
TNTxZ1697,Dh31-gal4 2M,Neuropeptide,Dh31-2M,Dh31-GAL4 2M,n
TNTxZ1650,NPF-gal4 2,Neuropeptide,NPF-2,NPF-GAL4 2,n
TNTxZ1651,NPF-gal4 1,Neuropeptide,NPF-1,NPF-GAL4 1,n
TNTxZ1642,GR63a mutant,Olfaction,GR63a-mutant,GR63a mutant,m
TNTxZ1643,GR63a-gal4,Olfaction,GR63a,GR63a-GAL4,n
TNTxZ1644,OR47b-gal4,Olfaction,OR47b,OR47b-GAL4,n
TNTxZ1646,OR67d-gal4,Olfaction,OR67d,OR67d-GAL4,n
TNTxZ1647,ORCO mutant,Olfaction,ORCO-mutant,ORCO mutant,m
TNTxZ1648,OR88a-gal4,Olfaction,OR88a,OR88a-GAL4,n
TNTxZ1649,ORCO-gal4,Olfaction,ORCO,ORCO-GAL4,n
TNTxZ1654,GH146-gal4,Olfaction,GH146,GH146-GAL4,n
TNTxZ1659,MZ19-gal4,Olfaction,MZ19,MZ19-GAL4,n
TNTxZ1664,IR25a-gal4,Olfaction,IR25a,IR25a-GAL4,n
TNTxZ1665,IR8a-gal4,Olfaction,IR8a,IR8a-GAL4,n
TNTxZ1666,IR25a mutant,Olfaction,IR25a-mutant,IR25a mutant,m
TNTxZ1667,IR8a mutant,Olfaction,IR8a-mutant,IR8a mutant,m
TNTxZ1677,OR47b mutant,Olfaction,OR47b-mutant,OR47b mutant,m
TNTxG55,LC4,Vision,LC4,LC4,y
TNTxG56,LC6,Vision,LC6,LC6,y
TNTxG57,LC9,Vision,LC9,LC9,y
TNTxG58,LC10ad,Vision,LC10ad,LC10-1,y
TNTxG59,LC10bc,Vision,LC10bc,LC10-2,y
TNTxG60,LC11,Vision,LC11,LC11,y
TNTxG61,LC12,Vision,LC12,LC12,y
TNTxG62,LC13,Vision,LC13,LC13,y
TNTxG63,LC15,Vision,LC15,LC15,y
TNTxG64,LC16-1,Vision,LC16-1,LC16-1,y
TNTxG65,LC16-2,Vision,LC16-2,LC16-2,y
TNTxG66,LC20,Vision,LC20,LC20,y
TNTxG67,LC21,Vision,LC21,LC21,y
TNTxG68,LC22,Vision,LC22,LC22,y
TNTxG69,LC24,Vision,LC24,LC24,y
TNTxG70,LC25,Vision,LC25,LC25,y
TNTxG71,LC26,Vision,LC26,LC26,y
TNTxG72,LPLC2,Vision,LPLC2,LPLC2,y
TNTxG74,R72D07-gal4,Vision,PN-72D07,72D07-GAL4,n
TNTxG75,R44H11-gal4,Vision,PN-44H11,44H11-GAL4,n
TNTxG76,R20G07-gal4,Vision,PN-20G07,20G07-GAL4,n
TNTxG77,R19H07-gal4,Vision,PN-19H07,19H07-GAL4,n
